"ethnic_group","population"
"Black African","1518025"
"Black Caribbean","629655"
"Black other","297781"
"Mixed","1717977"
"Mixed White/Asian","488228"
"Mixed White/Black African","249593"
"Mixed White/Black Caribbean","513040"
"Mixed other","467116"
"Gypsy Or Irish Traveller","71969"
"Roma","100964"
"White English","44355044"
"White Scottish","4445678"
"White Irish","561563"
"White other","3831311"
"Arab","341222"
"Any Other","928735"
"Mixed or multiple ethnic groups","19815"
"Bangladeshi","648688"
"Chinese","479352"
"Indian","1897010"
"Pakistani","1637203"
"Asian other","993880"
