SourceYear,Author,Location,Sex,AgeId,AgeStart,AgeEnd,Age,EstimateType,Population_Total
2022,"United Nations Population Division","United Kingdom","Both sexes",42,0,1,"0","Model-based Estimates",678115
2022,"United Nations Population Division","United Kingdom","Both sexes",89,1,1,"1","Model-based Estimates",679828
2022,"United Nations Population Division","United Kingdom","Both sexes",117,2,2,"2","Model-based Estimates",682987
2022,"United Nations Population Division","United Kingdom","Both sexes",126,3,3,"3","Model-based Estimates",702265
2022,"United Nations Population Division","United Kingdom","Both sexes",135,4,4,"4","Model-based Estimates",733315
2022,"United Nations Population Division","United Kingdom","Both sexes",90,5,5,"5","Model-based Estimates",762395
2022,"United Nations Population Division","United Kingdom","Both sexes",152,6,6,"6","Model-based Estimates",790793
2022,"United Nations Population Division","United Kingdom","Both sexes",161,7,7,"7","Model-based Estimates",806716
2022,"United Nations Population Division","United Kingdom","Both sexes",170,8,8,"8","Model-based Estimates",811705
2022,"United Nations Population Division","United Kingdom","Both sexes",179,9,9,"9","Model-based Estimates",817063
2022,"United Nations Population Division","United Kingdom","Both sexes",91,10,10,"10","Model-based Estimates",834901
2022,"United Nations Population Division","United Kingdom","Both sexes",109,11,11,"11","Model-based Estimates",848409
2022,"United Nations Population Division","United Kingdom","Both sexes",110,12,12,"12","Model-based Estimates",845318
2022,"United Nations Population Division","United Kingdom","Both sexes",111,13,13,"13","Model-based Estimates",836752
2022,"United Nations Population Division","United Kingdom","Both sexes",112,14,14,"14","Model-based Estimates",831464
2022,"United Nations Population Division","United Kingdom","Both sexes",86,15,15,"15","Model-based Estimates",824296
2022,"United Nations Population Division","United Kingdom","Both sexes",113,16,16,"16","Model-based Estimates",805157
2022,"United Nations Population Division","United Kingdom","Both sexes",114,17,17,"17","Model-based Estimates",783871
2022,"United Nations Population Division","United Kingdom","Both sexes",115,18,18,"18","Model-based Estimates",769681
2022,"United Nations Population Division","United Kingdom","Both sexes",116,19,19,"19","Model-based Estimates",759081
2022,"United Nations Population Division","United Kingdom","Both sexes",92,20,20,"20","Model-based Estimates",745482
2022,"United Nations Population Division","United Kingdom","Both sexes",118,21,21,"21","Model-based Estimates",745210
2022,"United Nations Population Division","United Kingdom","Both sexes",119,22,22,"22","Model-based Estimates",763568
2022,"United Nations Population Division","United Kingdom","Both sexes",120,23,23,"23","Model-based Estimates",793563
2022,"United Nations Population Division","United Kingdom","Both sexes",121,24,24,"24","Model-based Estimates",826133
2022,"United Nations Population Division","United Kingdom","Both sexes",93,25,25,"25","Model-based Estimates",850391
2022,"United Nations Population Division","United Kingdom","Both sexes",122,26,26,"26","Model-based Estimates",867232
2022,"United Nations Population Division","United Kingdom","Both sexes",123,27,27,"27","Model-based Estimates",875992
2022,"United Nations Population Division","United Kingdom","Both sexes",124,28,28,"28","Model-based Estimates",883874
2022,"United Nations Population Division","United Kingdom","Both sexes",125,29,29,"29","Model-based Estimates",895752
